episode,timestep,reward
19,20,-0.8607
39,40,-0.6766
59,60,-0.7019
79,80,-0.7186
99,100,-0.744
119,120,-0.7477
139,140,-0.6946
159,160,-0.7388
179,180,-0.7231
199,200,-0.7195
219,220,-0.6904
239,240,-0.6643
259,260,-0.6833
279,280,-0.7181
299,300,-0.696
319,320,-0.6104
339,340,-0.609
359,360,-0.5416
379,380,-0.4968
399,400,-0.6081
419,420,-0.5378
439,440,-0.5134
459,460,-0.526
479,480,-0.4744
499,500,-0.6387
519,520,-0.4303
539,540,-0.3788
559,560,-0.4899
579,580,-0.5224
599,600,-0.594
619,620,-0.5176
639,640,-0.5496
659,660,-0.4714
679,680,-0.428
699,700,-0.4962
719,720,-0.4043
739,740,-0.5413
759,760,-0.5382
779,780,-0.3664
799,800,-0.4843
819,820,-0.4583
839,840,-0.4878
859,860,-0.4502
879,880,-0.3565
899,900,-0.3929
919,920,-0.3763
939,940,-0.5055
959,960,-0.3226
979,980,-0.2678
999,1000,-0.3751
1019,1020,-0.3466
1039,1040,-0.4486
1059,1060,-0.3487
1079,1080,-0.406
1099,1100,-0.3707
1119,1120,-0.4311
1139,1140,-0.318
1159,1160,-0.3899
1179,1180,-0.3661
1199,1200,-0.3863
1219,1220,-0.3203
1239,1240,-0.4075
1259,1260,-0.4059
1279,1280,-0.3994
1299,1300,-0.2731
1319,1320,-0.5077
1339,1340,-0.2696
1359,1360,-0.4144
1379,1380,-0.3961
1399,1400,-0.4027
1419,1420,-0.318
1439,1440,-0.3564
1459,1460,-0.3161
1479,1480,-0.2916
1499,1500,-0.4221
1519,1520,-0.3755
1539,1540,-0.4227
1559,1560,-0.3968
1579,1580,-0.4309
1599,1600,-0.2877
1619,1620,-0.3441
1639,1640,-0.3448
1659,1660,-0.3447
1679,1680,-0.3685
1699,1700,-0.2956
1719,1720,-0.4659
1739,1740,-0.3428
1759,1760,-0.3671
1779,1780,-0.2897
1799,1800,-0.3457
1819,1820,-0.2558
1839,1840,-0.3392
1859,1860,-0.2707
1879,1880,-0.3156
1899,1900,-0.3553
1919,1920,-0.336
1939,1940,-0.2927
1959,1960,-0.3469
1979,1980,-0.3472
1999,2000,-0.2899
2019,2020,-0.2577
2039,2040,-0.3915
2059,2060,-0.3187
2079,2080,-0.3929
2099,2100,-0.2905
2119,2120,-0.3403
2139,2140,-0.4855
2159,2160,-0.2208
2179,2180,-0.4291
2199,2200,-0.3902
2219,2220,-0.2905
2239,2240,-0.3504
2259,2260,-0.2391
2279,2280,-0.2869
2299,2300,-0.357
2319,2320,-0.318
2339,2340,-0.3137
2359,2360,-0.3848
2379,2380,-0.264
2399,2400,-0.35
2419,2420,-0.345
2439,2440,-0.3393
2459,2460,-0.2811
2479,2480,-0.2566
2499,2500,-0.2859
2519,2520,-0.3768
2539,2540,-0.1858
2559,2560,-0.335
2579,2580,-0.285
2599,2600,-0.2419
2619,2620,-0.2629
2639,2640,-0.3451
2659,2660,-0.2392
2679,2680,-0.349
2699,2700,-0.3754
2719,2720,-0.159
2739,2740,-0.366
2759,2760,-0.2897
2779,2780,-0.3259
2799,2800,-0.3828
2819,2820,-0.3084
2839,2840,-0.3885
2859,2860,-0.3711
2879,2880,-0.3215
2899,2900,-0.3501
2919,2920,-0.29
2939,2940,-0.2658
2959,2960,-0.2696
2979,2980,-0.3738
2999,3000,-0.2958
3019,3020,-0.3705
3039,3040,-0.3213
3059,3060,-0.2828
3079,3080,-0.3094
3099,3100,-0.3123
3119,3120,-0.3706
3139,3140,-0.2873
3159,3160,-0.3729
3179,3180,-0.3655
3199,3200,-0.3685
3219,3220,-0.2643
3239,3240,-0.3421
3259,3260,-0.3483
3279,3280,-0.3543
3299,3300,-0.3659
3319,3320,-0.4571
3339,3340,-0.2074
3359,3360,-0.3622
3379,3380,-0.3098
3399,3400,-0.3704
3419,3420,-0.3817
3439,3440,-0.2686
3459,3460,-0.4228
3479,3480,-0.2859
3499,3500,-0.3196
3519,3520,-0.2899
3539,3540,-0.3096
3559,3560,-0.2427
3579,3580,-0.3436
3599,3600,-0.2902
3619,3620,-0.3048
3639,3640,-0.3404
3659,3660,-0.2572
3679,3680,-0.2885
3699,3700,-0.2314
3719,3720,-0.3387
3739,3740,-0.2593
3759,3760,-0.3395
3779,3780,-0.2708
3799,3800,-0.2678
3819,3820,-0.2684
3839,3840,-0.3252
3859,3860,-0.2135
3879,3880,-0.2955
3899,3900,-0.2651
3919,3920,-0.205
3939,3940,-0.2786
3959,3960,-0.2671
3979,3980,-0.2602
3999,4000,-0.2316
4019,4020,-0.2602
4039,4040,-0.359
4059,4060,-0.2606
4079,4080,-0.2924
4099,4100,-0.3787
4119,4120,-0.3317
4139,4140,-0.3217
4159,4160,-0.2131
4179,4180,-0.2562
4199,4200,-0.3762
4219,4220,-0.2621
4239,4240,-0.2577
4259,4260,-0.4189
4279,4280,-0.2954
4299,4300,-0.3087
4319,4320,-0.2619
4339,4340,-0.2373
4359,4360,-0.3367
4379,4380,-0.2325
4399,4400,-0.2347
4419,4420,-0.3051
4439,4440,-0.3165
4459,4460,-0.29
4479,4480,-0.3469
4499,4500,-0.234
4519,4520,-0.2844
4539,4540,-0.3112
4559,4560,-0.3737
4579,4580,-0.2674
4599,4600,-0.3167
4619,4620,-0.3124
4639,4640,-0.3539
4659,4660,-0.2628
4679,4680,-0.2642
4699,4700,-0.2961
4719,4720,-0.3169
4739,4740,-0.3134
4759,4760,-0.3104
4779,4780,-0.3127
4799,4800,-0.2605
4819,4820,-0.2584
4839,4840,-0.2362
4859,4860,-0.204
4879,4880,-0.2488
4899,4900,-0.3679
4919,4920,-0.3133
4939,4940,-0.3142
4959,4960,-0.2612
4979,4980,-0.2739
4999,5000,-0.2916
5019,5020,-0.3677
5039,5040,-0.2858
5059,5060,-0.2909
5079,5080,-0.1621
5099,5100,-0.332
5119,5120,-0.3892
5139,5140,-0.2818
5159,5160,-0.2353
5179,5180,-0.3349
5199,5200,-0.2568
5219,5220,-0.254
5239,5240,-0.2608
5259,5260,-0.2341
5279,5280,-0.3347
5299,5300,-0.2643
5319,5320,-0.2658
5339,5340,-0.2139
5359,5360,-0.2687
5379,5380,-0.403
5399,5400,-0.3196
5419,5420,-0.2847
5439,5440,-0.257
5459,5460,-0.3195
5479,5480,-0.2933
5499,5500,-0.3669
5519,5520,-0.3423
5539,5540,-0.1855
5559,5560,-0.3071
5579,5580,-0.3064
5599,5600,-0.2589
5619,5620,-0.29
5639,5640,-0.2803
5659,5660,-0.2687
5679,5680,-0.3279
5699,5700,-0.2147
5719,5720,-0.2653
5739,5740,-0.3135
5759,5760,-0.2002
5779,5780,-0.3199
5799,5800,-0.186
5819,5820,-0.261
5839,5840,-0.4116
5859,5860,-0.2056
5879,5880,-0.259
5899,5900,-0.3372
5919,5920,-0.2662
5939,5940,-0.3149
5959,5960,-0.3474
5979,5980,-0.2375
5999,6000,-0.2928
6019,6020,-0.2336
6039,6040,-0.3133
6059,6060,-0.2632
6079,6080,-0.1813
6099,6100,-0.2605
6119,6120,-0.3181
6139,6140,-0.2397
6159,6160,-0.3205
6179,6180,-0.2099
6199,6200,-0.3456
6219,6220,-0.2984
6239,6240,-0.32
6259,6260,-0.3486
6279,6280,-0.1761
6299,6300,-0.2726
6319,6320,-0.2351
6339,6340,-0.2889
6359,6360,-0.2558
6379,6380,-0.2128
6399,6400,-0.2633
