episode,timestep,reward
19,4000,-1328.3515
39,8000,-1228.2868
59,12000,-1190.009
79,16000,-1293.8835
99,20000,-1190.0969
119,24000,-1226.8126
139,28000,-1126.6214
159,32000,-1098.7858
179,36000,-1176.7117
199,40000,-1129.5121
219,44000,-1121.2389
239,48000,-1087.3593
259,52000,-1110.163
279,56000,-1079.7388
299,60000,-1145.2109
319,64000,-1144.0962
339,68000,-994.9777
359,72000,-1109.2267
379,76000,-1044.1453
399,80000,-1118.7825
419,84000,-1085.5861
439,88000,-1033.7528
459,92000,-1014.6042
479,96000,-1019.5846
499,100000,-1017.4349
519,104000,-1016.4726
539,108000,-975.1502
559,112000,-1088.6708
579,116000,-1100.7955
599,120000,-1034.593
619,124000,-970.9619
639,128000,-1063.0681
659,132000,-1068.9412
679,136000,-1105.7869
699,140000,-945.0033
719,144000,-1029.2914
739,148000,-959.0479
759,152000,-1023.0228
779,156000,-1044.8819
799,160000,-1008.068
819,164000,-922.2933
839,168000,-959.3343
859,172000,-989.2716
879,176000,-1011.6506
899,180000,-950.3524
919,184000,-964.5777
939,188000,-986.9832
959,192000,-956.4552
979,196000,-926.6751
999,200000,-880.7863
1019,204000,-925.387
1039,208000,-884.0338
1059,212000,-881.4431
1079,216000,-911.1945
1099,220000,-895.2614
1119,224000,-913.4499
1139,228000,-969.0121
1159,232000,-895.7132
1179,236000,-900.2818
1199,240000,-864.8399
1219,244000,-879.1647
1239,248000,-952.8617
1259,252000,-814.3205
1279,256000,-858.1766
1299,260000,-873.1117
1319,264000,-844.5851
1339,268000,-860.4809
1359,272000,-924.1395
1379,276000,-877.9447
1399,280000,-817.8647
1419,284000,-835.9279
1439,288000,-818.1332
1459,292000,-944.4375
1479,296000,-814.5906
1499,300000,-878.6363
1519,304000,-766.182
1539,308000,-807.6101
1559,312000,-811.369
1579,316000,-810.2071
1599,320000,-776.7376
1619,324000,-818.3894
1639,328000,-785.5725
1659,332000,-799.4455
1679,336000,-775.1094
1699,340000,-782.2953
1719,344000,-733.2774
1739,348000,-666.3111
1759,352000,-766.2929
1779,356000,-709.8647
1799,360000,-774.36
1819,364000,-598.6458
1839,368000,-720.6555
1859,372000,-610.0308
1879,376000,-641.0205
1899,380000,-596.8849
1919,384000,-600.3039
1939,388000,-689.392
1959,392000,-706.0196
1979,396000,-489.94
1999,400000,-551.31
2019,404000,-605.9655
2039,408000,-653.3841
2059,412000,-510.5127
2079,416000,-486.8621
2099,420000,-442.2367
2119,424000,-470.0713
2139,428000,-405.0689
2159,432000,-393.8972
2179,436000,-450.9107
2199,440000,-472.2282
2219,444000,-475.9307
2239,448000,-407.8915
2259,452000,-412.4581
2279,456000,-361.0769
2299,460000,-357.8951
2319,464000,-554.0831
2339,468000,-332.3031
2359,472000,-460.6878
2379,476000,-395.9981
2399,480000,-321.1574
2419,484000,-452.9901
2439,488000,-384.2872
2459,492000,-419.6016
2479,496000,-423.7708
2499,500000,-360.2596
2519,504000,-314.6023
2539,508000,-348.4452
2559,512000,-311.1436
2579,516000,-307.0244
2599,520000,-332.245
2619,524000,-519.973
2639,528000,-397.4096
2659,532000,-312.3204
2679,536000,-363.6815
2699,540000,-306.1448
2719,544000,-313.836
2739,548000,-268.965
2759,552000,-325.1941
2779,556000,-314.8537
2799,560000,-396.5602
2819,564000,-276.0126
2839,568000,-343.7686
2859,572000,-453.7324
2879,576000,-291.0175
2899,580000,-314.6682
2919,584000,-362.3627
2939,588000,-254.4075
2959,592000,-307.2136
2979,596000,-245.7395
2999,600000,-357.2737
3019,604000,-332.1707
3039,608000,-361.2532
3059,612000,-228.3893
3079,616000,-362.7887
3099,620000,-272.1913
3119,624000,-274.5626
3139,628000,-312.3898
3159,632000,-354.1911
3179,636000,-276.0537
3199,640000,-308.0229
3219,644000,-380.4521
3239,648000,-375.6176
3259,652000,-318.7084
3279,656000,-297.9397
3299,660000,-370.5832
3319,664000,-267.6135
3339,668000,-303.4414
3359,672000,-294.4289
3379,676000,-302.9342
3399,680000,-398.2916
3419,684000,-308.3761
3439,688000,-229.0647
3459,692000,-427.6087
3479,696000,-352.2341
3499,700000,-342.7108
3519,704000,-321.2598
3539,708000,-415.0608
3559,712000,-235.5467
3579,716000,-280.0229
3599,720000,-227.8941
3619,724000,-376.6884
3639,728000,-199.3518
3659,732000,-314.9411
3679,736000,-231.5673
3699,740000,-369.8048
3719,744000,-391.9145
3739,748000,-292.8373
3759,752000,-262.8497
3779,756000,-417.6958
3799,760000,-224.7144
3819,764000,-238.2059
3839,768000,-226.2409
3859,772000,-306.8022
3879,776000,-406.2092
3899,780000,-243.8219
3919,784000,-365.1991
3939,788000,-330.2352
3959,792000,-245.8249
3979,796000,-200.6103
3999,800000,-353.7165
4019,804000,-206.5111
4039,808000,-204.564
4059,812000,-266.6694
4079,816000,-260.6582
4099,820000,-378.5858
4119,824000,-366.6058
4139,828000,-327.3414
4159,832000,-275.1937
4179,836000,-266.8589
4199,840000,-224.4374
4219,844000,-268.2354
4239,848000,-415.6616
4259,852000,-221.9532
4279,856000,-225.2981
4299,860000,-279.1584
4319,864000,-200.5429
4339,868000,-205.1665
4359,872000,-304.192
4379,876000,-288.4602
4399,880000,-240.1855
4419,884000,-279.691
4439,888000,-270.0272
4459,892000,-293.6154
4479,896000,-239.9847
4499,900000,-237.8484
4519,904000,-229.1889
4539,908000,-237.6825
4559,912000,-246.0594
4579,916000,-326.8595
4599,920000,-238.7805
4619,924000,-212.4847
4639,928000,-189.1774
4659,932000,-209.4264
4679,936000,-283.5313
4699,940000,-248.7796
4719,944000,-276.826
4739,948000,-247.8033
4759,952000,-250.9656
4779,956000,-234.8229
4799,960000,-271.7323
4819,964000,-203.764
4839,968000,-192.3585
4859,972000,-220.8073
4879,976000,-231.6697
4899,980000,-216.7716
4919,984000,-231.9575
4939,988000,-214.4336
4959,992000,-253.6083
4979,996000,-177.2821
4999,1000000,-284.436
5019,1004000,-247.2749
5039,1008000,-198.4535
5059,1012000,-223.3126
5079,1016000,-249.777
5099,1020000,-204.7877
5119,1024000,-187.5348
5139,1028000,-196.5923
5159,1032000,-198.7319
5179,1036000,-208.6036
5199,1040000,-195.182
5219,1044000,-260.9083
5239,1048000,-217.1755
5259,1052000,-241.1297
5279,1056000,-196.3375
5299,1060000,-189.5556
5319,1064000,-242.0119
5339,1068000,-208.7444
5359,1072000,-178.3195
5379,1076000,-217.6579
5399,1080000,-206.515
5419,1084000,-233.4982
5439,1088000,-196.8917
5459,1092000,-218.5609
5479,1096000,-187.0282
5499,1100000,-218.9414
5519,1104000,-214.1019
5539,1108000,-238.5116
5559,1112000,-206.5376
5579,1116000,-230.1893
5599,1120000,-269.3936
5619,1124000,-182.484
5639,1128000,-260.8112
5659,1132000,-172.2934
5679,1136000,-221.4903
5699,1140000,-208.1955
5719,1144000,-163.8821
5739,1148000,-249.0729
5759,1152000,-264.8863
5779,1156000,-178.1789
5799,1160000,-132.8473
5819,1164000,-194.6982
5839,1168000,-230.1993
5859,1172000,-308.9427
5879,1176000,-259.1852
5899,1180000,-203.2092
5919,1184000,-206.0724
5939,1188000,-316.0083
5959,1192000,-273.0566
5979,1196000,-266.3601
5999,1200000,-202.4089
6019,1204000,-213.7182
6039,1208000,-232.9129
6059,1212000,-194.4236
6079,1216000,-212.4421
6099,1220000,-192.4753
6119,1224000,-185.4405
6139,1228000,-218.1284
6159,1232000,-204.7973
6179,1236000,-232.4308
6199,1240000,-196.6016
6219,1244000,-191.7711
6239,1248000,-193.9308
6259,1252000,-254.5676
6279,1256000,-220.1758
6299,1260000,-209.1727
6319,1264000,-201.8968
6339,1268000,-185.4518
6359,1272000,-219.4799
6379,1276000,-202.4979
6399,1280000,-226.0506
6419,1284000,-173.8302
6439,1288000,-271.4415
6459,1292000,-229.3783
6479,1296000,-209.2247
6499,1300000,-146.9566
6519,1304000,-171.5945
6539,1308000,-217.7537
6559,1312000,-221.5463
6579,1316000,-159.0667
6599,1320000,-247.3634
6619,1324000,-200.5816
6639,1328000,-182.2902
6659,1332000,-229.9019
6679,1336000,-202.6468
6699,1340000,-237.3857
6719,1344000,-207.0465
6739,1348000,-217.1737
6759,1352000,-205.0408
6779,1356000,-250.1404
6799,1360000,-204.4327
6819,1364000,-187.3661
6839,1368000,-195.8671
6859,1372000,-196.597
6879,1376000,-225.7028
6899,1380000,-200.459
6919,1384000,-205.2744
6939,1388000,-188.9286
6959,1392000,-179.6067
6979,1396000,-192.7974
6999,1400000,-191.731
7019,1404000,-172.1192
7039,1408000,-193.7481
7059,1412000,-192.552
7079,1416000,-188.6991
7099,1420000,-176.9027
7119,1424000,-214.3271
7139,1428000,-196.787
7159,1432000,-207.2952
7179,1436000,-210.1541
7199,1440000,-169.714
7219,1444000,-225.2236
7239,1448000,-225.219
7259,1452000,-186.5292
7279,1456000,-181.8874
7299,1460000,-220.2954
7319,1464000,-208.871
7339,1468000,-176.0042
7359,1472000,-200.7585
7379,1476000,-246.8192
7399,1480000,-218.7722
7419,1484000,-174.5786
7439,1488000,-186.9519
7459,1492000,-206.871
7479,1496000,-190.3675
