episode,timestep,reward
1,2,-0.4329
3,4,-0.8389
5,6,-0.7555
7,8,-0.8575
9,10,-0.8718
11,12,-0.1946
13,14,-1.0552
15,16,-0.9687
17,18,-1.0329
19,20,-1.1613
21,22,-0.9623
23,24,-1.1401
25,26,-1.0293
27,28,-1.1562
29,30,-1.2356
31,32,-0.7403
33,34,-0.8336
35,36,-1.2148
37,38,-0.7103
39,40,-1.2119
41,42,-1.2595
43,44,-1.2954
45,46,-1.5194
47,48,-0.7494
49,50,-0.8624
51,52,-0.65
53,54,-0.3326
55,56,-0.8784
57,58,-1.079
59,60,-0.46
61,62,-0.7249
63,64,-0.2646
65,66,-1.1626
67,68,-0.1953
69,70,-1.1413
71,72,-0.6567
73,74,-1.1998
75,76,-1.0582
77,78,-0.7843
79,80,-0.8231
81,82,-1.4696
83,84,-1.13
85,86,-0.9698
87,88,-0.2741
89,90,-0.7024
91,92,-0.795
93,94,-0.8292
95,96,-1.2162
97,98,-1.4801
99,100,-0.796
101,102,-1.2668
103,104,-1.1267
105,106,-0.8026
107,108,-1.2603
109,110,-1.5078
111,112,-0.9163
113,114,-1.1806
115,116,-0.8442
117,118,-1.1718
119,120,-1.3008
121,122,-1.1162
123,124,-1.4891
125,126,-0.5341
127,128,-1.3718
129,130,-1.2142
131,132,-0.5065
133,134,-1.0759
135,136,-1.1235
137,138,-1.5057
139,140,-0.6982
141,142,-0.9497
143,144,-0.9006
145,146,-1.1253
147,148,-1.2711
149,150,-0.8378
151,152,-0.8692
153,154,-0.9055
155,156,-0.9437
157,158,-0.7576
159,160,-0.768
161,162,-1.1283
163,164,-0.7614
165,166,-1.0169
167,168,-0.8377
169,170,-1.2102
171,172,-0.7105
173,174,-0.9659
175,176,-0.804
177,178,-0.9008
179,180,-0.9812
181,182,-1.2232
183,184,-1.6421
185,186,-1.0503
187,188,-1.4789
189,190,-0.7458
191,192,-0.8569
193,194,-0.8465
195,196,-0.9707
197,198,-0.9309
199,200,-0.7795
201,202,-0.8611
203,204,-1.4427
205,206,-1.2129
207,208,-0.8276
209,210,-0.7414
211,212,-1.5527
213,214,-1.3652
215,216,-0.458
217,218,-1.3983
219,220,-1.5077
221,222,-0.2948
223,224,-0.8445
225,226,-1.094
227,228,-0.4482
229,230,-0.9312
231,232,-1.6461
233,234,-0.5183
235,236,-1.5971
237,238,-0.6177
239,240,-0.7394
241,242,-1.1923
243,244,-1.6013
245,246,-1.2473
247,248,-1.1407
249,250,-0.4256
251,252,-1.3289
253,254,-1.5153
255,256,-0.8767
257,258,-1.436
259,260,-1.1935
261,262,-0.6042
263,264,-0.7899
265,266,-0.7171
267,268,-1.6187
269,270,-1.1076
271,272,-1.0976
273,274,-1.0478
275,276,-0.3519
277,278,-1.1365
279,280,-0.4661
281,282,-1.0231
283,284,-0.893
285,286,-0.7596
287,288,-0.6409
289,290,-0.2934
291,292,-0.5464
293,294,-0.4794
295,296,-1.1293
297,298,-1.0291
299,300,-1.1855
301,302,-1.4772
303,304,-1.5413
305,306,-0.5533
307,308,-1.2296
309,310,-0.7977
311,312,-0.804
313,314,-0.8525
315,316,-1.1037
317,318,-1.2817
319,320,-1.0548
321,322,-0.8197
323,324,-1.2926
325,326,-1.1421
327,328,-1.4348
329,330,-1.2056
331,332,-0.5298
333,334,-0.7154
335,336,-0.2511
337,338,-0.777
339,340,-0.2712
341,342,-1.3641
343,344,-1.3759
345,346,-0.8114
347,348,-0.9174
349,350,-0.8512
351,352,-0.7227
353,354,-1.5132
355,356,-1.3917
357,358,-0.4415
359,360,-0.5925
361,362,-0.1504
363,364,-0.2176
365,366,-0.9206
367,368,-0.6928
369,370,-1.3225
371,372,-0.7711
373,374,-1.2194
375,376,-0.7419
377,378,-1.0258
379,380,-1.0652
381,382,-0.7912
383,384,-0.8968
385,386,-1.0527
387,388,-0.8833
389,390,-1.0663
391,392,-1.1955
393,394,-1.0284
395,396,-0.9524
397,398,-0.6935
399,400,-0.7284
401,402,-0.6898
403,404,-1.4506
405,406,-1.2163
407,408,-0.5847
409,410,-0.745
411,412,-1.0037
413,414,-0.5799
415,416,-1.42
417,418,-0.8376
419,420,-0.7982
421,422,-0.9994
423,424,-0.7292
425,426,-0.9161
427,428,-0.9032
429,430,-0.7618
431,432,-0.6791
433,434,-0.7988
435,436,-1.6166
437,438,-1.0037
439,440,-0.127
441,442,-1.429
443,444,-1.2126
445,446,-0.7751
447,448,-0.7941
449,450,-0.7881
451,452,-0.7219
453,454,-0.7461
455,456,-1.571
457,458,-0.5611
459,460,-0.7174
461,462,-1.4829
463,464,-0.5697
465,466,-0.8084
467,468,-0.674
469,470,-0.7569
471,472,-1.1098
473,474,-0.8669
475,476,-1.6039
477,478,-0.5767
479,480,-1.1913
481,482,-0.7761
483,484,-1.128
485,486,-0.7609
487,488,-1.31
489,490,-0.7711
491,492,-1.4819
493,494,-1.2279
495,496,-0.7459
497,498,-0.5871
499,500,-1.434
501,502,-1.4519
503,504,-1.3703
505,506,-0.9531
507,508,-0.9855
509,510,-1.3203
511,512,-0.9088
513,514,-1.3144
515,516,-0.8275
517,518,-0.7814
519,520,-0.8481
521,522,-1.0764
523,524,-0.8837
525,526,-1.6319
527,528,-1.1657
529,530,-0.6246
531,532,-0.9827
533,534,-1.5188
535,536,-1.0721
537,538,-0.9317
539,540,-1.3021
541,542,-1.0701
543,544,-1.2486
545,546,-0.4633
547,548,-1.0984
549,550,-0.4325
551,552,-0.8156
553,554,-1.1453
555,556,-0.8504
557,558,-1.0968
559,560,-0.1995
561,562,-0.8447
563,564,-0.143
565,566,-0.4668
567,568,-0.8833
569,570,-0.4682
571,572,-0.9428
573,574,-0.5846
575,576,-0.6319
577,578,-0.4827
579,580,-0.9366
581,582,-0.455
583,584,-0.9088
585,586,-1.0347
587,588,-0.8405
589,590,-1.4824
591,592,-0.4658
593,594,-1.2337
595,596,-0.962
597,598,-0.4897
599,600,-0.5889
601,602,-1.1642
603,604,-0.8872
605,606,-1.0739
607,608,-1.2912
609,610,-0.7703
611,612,-1.3292
613,614,-0.574
615,616,-0.6341
617,618,-1.1734
619,620,-1.3909
621,622,-0.8205
623,624,-0.6194
625,626,-1.3766
627,628,-0.7106
629,630,-1.4399
631,632,-1.3227
633,634,-0.9146
635,636,-0.9362
637,638,-0.6427
639,640,-0.76
641,642,-1.2274
643,644,-1.4525
645,646,-1.2482
647,648,-1.0046
649,650,-0.5905
651,652,-0.7141
653,654,-1.1742
655,656,-1.1582
657,658,-1.0737
659,660,-0.8352
661,662,-0.6694
663,664,-1.2331
665,666,-0.6214
667,668,-1.3699
669,670,-0.7459
671,672,-1.2136
673,674,-0.5238
675,676,-1.1539
677,678,-0.6439
679,680,-1.1112
681,682,-1.5573
683,684,-1.3014
685,686,-0.276
687,688,-1.3175
689,690,-0.7774
691,692,-0.7018
693,694,-1.1085
695,696,-1.6704
697,698,-1.3264
699,700,-0.3276
701,702,-0.8182
703,704,-0.5449
705,706,-0.7274
707,708,-0.7777
709,710,-0.468
711,712,-0.9495
713,714,-0.548
715,716,-1.0116
717,718,-1.1888
719,720,-0.9259
721,722,-1.5033
723,724,-1.5637
725,726,-1.277
727,728,-1.1903
729,730,-0.7814
731,732,-1.1917
733,734,-1.5252
735,736,-1.5699
737,738,-1.3075
739,740,-0.4694
741,742,-1.6248
743,744,-0.3628
745,746,-1.0042
747,748,-0.1718
749,750,-1.1707
751,752,-0.7128
753,754,-0.7992
755,756,-0.6024
757,758,-1.172
759,760,-0.9256
761,762,-1.2325
763,764,-0.5645
765,766,-1.0724
767,768,-0.6609
