episode,timestep,reward
4,4000,-84.658
9,8000,-92.9134
18,12000,-100.0038
23,16000,-90.7348
30,20000,-96.2913
32,24000,-56.1498
36,28000,-67.7783
41,32000,-96.1332
45,36000,-85.7821
48,40000,-110.1682
51,44000,-96.1248
55,48000,-89.6515
57,52000,-58.8138
61,56000,-78.5098
63,60000,-66.343
66,64000,-61.3066
68,68000,-97.5726
71,72000,-145.7326
74,76000,-95.4508
76,80000,-113.1211
79,84000,-67.3252
81,88000,-66.0693
84,92000,-89.9496
87,96000,-89.5871
90,100000,-84.5553
92,104000,-63.832
95,108000,-112.1785
100,112000,-108.2131
103,116000,-58.75
105,120000,-95.1572
109,124000,-75.5969
112,128000,-84.6981
114,132000,-66.2227
117,136000,-94.7312
120,140000,-84.1758
122,144000,-64.3798
126,148000,-74.1579
128,152000,-60.6661
131,156000,-66.1894
134,160000,-79.869
136,164000,-66.049
139,168000,-63.6571
142,172000,-101.3204
145,176000,-90.0336
149,180000,-94.044
153,184000,-83.7413
160,188000,-102.68
163,192000,-74.0604
166,196000,-63.4356
168,200000,-139.8115
171,204000,-85.4397
175,208000,-112.9204
178,212000,-87.6876
181,216000,-117.1896
183,220000,-63.0598
186,224000,-87.8434
190,228000,-90.9189
192,232000,-107.3986
195,236000,-65.547
197,240000,-105.8144
200,244000,-61.3923
203,248000,-79.0153
208,252000,-89.5046
211,256000,-84.3305
216,260000,-107.8273
218,264000,-62.4473
223,268000,-92.651
226,272000,-57.7499
229,276000,-79.298
232,280000,-59.1544
242,284000,-102.8454
246,288000,-85.5806
249,292000,-100.9521
252,296000,-64.5913
255,300000,-106.1101
258,304000,-91.7938
262,308000,-78.8951
266,312000,-107.6078
269,316000,-80.8961
272,320000,-62.4219
275,324000,-75.0274
278,328000,-81.0614
281,332000,-83.374
285,336000,-91.2347
289,340000,-86.437
292,344000,-81.1716
297,348000,-104.2568
300,352000,-78.7094
302,356000,-64.0562
306,360000,-93.5631
310,364000,-72.6255
316,368000,-123.3763
318,372000,-63.9677
321,376000,-71.9346
324,380000,-130.1611
327,384000,-69.3166
330,388000,-86.1397
334,392000,-106.6045
340,396000,-107.2217
348,400000,-100.1313
351,404000,-68.4032
354,408000,-95.8191
358,412000,-61.5631
363,416000,-91.2017
366,420000,-78.0519
369,424000,-78.2067
373,428000,-107.5168
377,432000,-81.4482
382,436000,-93.4899
384,440000,-106.0857
388,444000,-92.2327
391,448000,-90.1233
393,452000,-66.1088
397,456000,-75.9777
399,460000,-100.6855
403,464000,-75.5449
405,468000,-111.6604
408,472000,-59.0583
411,476000,-111.7634
415,480000,-117.442
419,484000,-91.9659
422,488000,-82.7764
426,492000,-79.2924
429,496000,-74.1843
433,500000,-82.1564
436,504000,-75.9401
439,508000,-84.5815
443,512000,-88.6094
447,516000,-99.7233
450,520000,-69.8798
453,524000,-70.3912
458,528000,-98.5968
462,532000,-63.6362
466,536000,-82.1789
469,540000,-98.6711
473,544000,-70.3785
475,548000,-73.8815
480,552000,-93.5028
484,556000,-87.0455
488,560000,-88.7222
491,564000,-73.8491
495,568000,-94.4465
497,572000,-73.4932
500,576000,-57.7466
503,580000,-87.0099
507,584000,-80.7277
510,588000,-103.5016
514,592000,-85.9519
520,596000,-100.2617
523,600000,-81.7415
526,604000,-56.9421
528,608000,-65.2671
532,612000,-91.2352
534,616000,-54.4319
540,620000,-93.4634
542,624000,-27.7442
545,628000,-85.4587
548,632000,-94.222
551,636000,-86.2715
557,640000,-81.1947
559,644000,-66.1306
562,648000,-79.137
565,652000,-54.2707
568,656000,-82.87
572,660000,-97.9518
576,664000,-82.3144
579,668000,-80.2635
585,672000,-87.5561
587,676000,-44.8227
591,680000,-88.2351
594,684000,-67.0272
596,688000,-66.7103
599,692000,-35.8287
602,696000,-96.5496
605,700000,-80.7356
609,704000,-66.661
614,708000,-67.2765
618,712000,-67.8832
623,716000,-94.9461
625,720000,-56.4437
630,724000,-71.3046
633,728000,-33.4764
637,732000,-63.384
641,736000,-87.1885
645,740000,-75.0864
649,744000,-70.0355
653,748000,-90.0674
658,752000,-89.7993
662,756000,-78.4034
665,760000,-67.4708
669,764000,-86.6777
672,768000,-35.9337
675,772000,-95.3382
683,776000,-96.2932
687,780000,-68.3024
693,784000,-89.6113
695,788000,-75.777
699,792000,-66.3334
702,796000,-88.7501
707,800000,-69.9607
711,804000,-84.5369
717,808000,-88.0331
722,812000,-81.8024
725,816000,-83.3913
728,820000,-84.9742
731,824000,-59.6553
735,828000,-78.6241
739,832000,-66.8088
742,836000,-85.9807
747,840000,-81.4075
753,844000,-85.6038
755,848000,-107.416
760,852000,-83.453
764,856000,-85.1712
766,860000,-22.9535
769,864000,-61.5665
773,868000,-78.2372
775,872000,-35.5954
778,876000,-57.2348
785,880000,-92.906
789,884000,-75.4115
791,888000,-62.585
798,892000,-80.9498
801,896000,-79.7844
803,900000,-52.3393
806,904000,-39.0739
810,908000,-86.6795
815,912000,-51.1633
818,916000,-89.1044
821,920000,-65.0775
824,924000,-83.1493
831,928000,-89.3595
834,932000,-78.8324
838,936000,-74.6889
841,940000,-57.0054
844,944000,-63.5904
847,948000,-90.5057
850,952000,-65.7421
854,956000,-54.878
857,960000,-55.6181
859,964000,-77.8277
864,968000,-77.9125
868,972000,-83.6735
870,976000,-69.1079
874,980000,-88.9591
877,984000,-72.0941
880,988000,-92.0703
883,992000,-65.0469
886,996000,-43.7566
888,1000000,-66.8293
893,1004000,-77.6605
897,1008000,-88.6143
901,1012000,-83.4831
905,1016000,-55.3052
910,1020000,-89.4603
914,1024000,-81.0078
917,1028000,-80.5451
921,1032000,-79.9362
924,1036000,-76.234
926,1040000,-47.7962
930,1044000,-70.3162
934,1048000,-79.2595
938,1052000,-73.8671
942,1056000,-73.4096
944,1060000,-52.4816
947,1064000,-66.095
950,1068000,-62.9239
953,1072000,-68.6333
956,1076000,-71.1057
958,1080000,-39.8501
961,1084000,-65.8967
963,1088000,-43.5081
968,1092000,-76.7867
972,1096000,-74.077
976,1100000,-100.8886
982,1104000,-81.7223
986,1108000,-81.6041
989,1112000,-55.355
991,1116000,-46.9777
996,1120000,-52.6853
999,1124000,-63.6059
1002,1128000,-82.0445
1006,1132000,-89.0063
1009,1136000,-67.842
1013,1140000,-107.5302
1015,1144000,-57.0282
1021,1148000,-81.3596
1024,1152000,-75.2096
1029,1156000,-85.5526
1033,1160000,-99.398
1036,1164000,-75.084
1039,1168000,-95.2301
1044,1172000,-90.1637
1047,1176000,-89.0821
1051,1180000,-85.6172
1055,1184000,-66.9332
1060,1188000,-98.7641
1063,1192000,-83.2295
1068,1196000,-95.0385
1071,1200000,-86.8007
1074,1204000,-74.3572
1078,1208000,-84.8327
1082,1212000,-72.7058
1086,1216000,-72.6209
1090,1220000,-79.9227
1092,1224000,-65.6871
1095,1228000,-76.0403
1099,1232000,-72.7929
1102,1236000,-85.3693
1105,1240000,-55.092
1108,1244000,-86.7999
1111,1248000,-75.0713
1114,1252000,-52.0998
1116,1256000,-57.7035
1120,1260000,-79.4672
1125,1264000,-92.317
1128,1268000,-88.1456
1132,1272000,-118.5925
1138,1276000,-91.4886
1141,1280000,-63.5471
1144,1284000,-78.3596
1148,1288000,-83.7937
1151,1292000,-75.4393
1153,1296000,-54.1089
1156,1300000,-82.7984
1163,1304000,-97.8504
1167,1308000,-90.8804
1170,1312000,-79.103
1173,1316000,-78.2947
1176,1320000,-99.4621
1180,1324000,-78.9166
1185,1328000,-75.8951
1189,1332000,-110.379
1191,1336000,-67.5873
1194,1340000,-95.1772
1198,1344000,-85.4246
1202,1348000,-72.1877
1205,1352000,-76.5171
1209,1356000,-93.6208
1212,1360000,-87.7421
1215,1364000,-94.0347
1220,1368000,-85.4826
1222,1372000,-47.3113
1225,1376000,-56.6892
1229,1380000,-84.7363
1232,1384000,-74.4281
1235,1388000,-76.0249
1238,1392000,-57.4235
1242,1396000,-110.6867
1245,1400000,-51.3334
1249,1404000,-76.0506
1252,1408000,-72.6384
1254,1412000,-65.4921
1257,1416000,-54.4571
1261,1420000,-74.321
1265,1424000,-87.0396
1270,1428000,-75.6062
1274,1432000,-75.699
1278,1436000,-96.592
1282,1440000,-97.8474
1286,1444000,-81.4243
1289,1448000,-72.4093
1294,1452000,-84.4428
1297,1456000,-71.8545
1300,1460000,-44.9699
1303,1464000,-65.5545
1307,1468000,-90.3716
1314,1472000,-95.5781
1317,1476000,-83.8784
1320,1480000,-77.4662
1325,1484000,-84.8455
1327,1488000,-26.7129
1331,1492000,-75.6969
1338,1496000,-91.1626
1343,1500000,-81.8329
1345,1504000,-63.0871
1349,1508000,-73.6987
1353,1512000,-67.5093
1358,1516000,-95.9721
1363,1520000,-96.5778
1365,1524000,-30.7967
1368,1528000,-54.7433
1371,1532000,-58.0764
1374,1536000,-78.2058
1377,1540000,-58.2477
1381,1544000,-73.6097
1385,1548000,-81.5238
1387,1552000,-75.4979
1390,1556000,-70.3411
1393,1560000,-79.1344
1396,1564000,-74.5484
1399,1568000,-88.7318
1403,1572000,-71.5893
1406,1576000,-81.5789
1412,1580000,-85.8605
1417,1584000,-72.7944
1420,1588000,-67.7681
1423,1592000,-82.7753
1426,1596000,-69.4763
1430,1600000,-51.9985
1434,1604000,-91.3809
1438,1608000,-81.8315
1442,1612000,-81.767
1446,1616000,-82.251
1450,1620000,-60.5821
1453,1624000,-48.7143
1456,1628000,-71.8482
1460,1632000,-67.0662
1463,1636000,-48.9481
1467,1640000,-74.1778
1474,1644000,-81.5716
1477,1648000,-109.5859
1482,1652000,-76.6249
1484,1656000,-74.8841
1487,1660000,-67.2797
1494,1664000,-88.1942
1498,1668000,-72.3828
1502,1672000,-77.4842
1506,1676000,-119.1492
1510,1680000,-81.9179
1514,1684000,-79.7308
1518,1688000,-84.8091
1522,1692000,-87.2351
1527,1696000,-91.7925
1530,1700000,-49.7826
1533,1704000,-78.0885
1535,1708000,-35.9449
1541,1712000,-77.34
1544,1716000,-86.405
1547,1720000,-73.0789
1550,1724000,-82.6027
1553,1728000,-30.435
1556,1732000,-83.3934
1563,1736000,-92.2452
1568,1740000,-88.5403
1570,1744000,-86.1352
1574,1748000,-63.1732
1578,1752000,-83.8947
1580,1756000,-67.0185
1585,1760000,-87.5402
1589,1764000,-111.6028
1592,1768000,-73.9653
1595,1772000,-81.3485
1599,1776000,-94.4487
1602,1780000,-71.8145
1608,1784000,-109.4688
1613,1788000,-88.6088
1617,1792000,-81.2909
1622,1796000,-103.2523
1625,1800000,-91.4564
1629,1804000,-121.6406
1633,1808000,-72.3992
1638,1812000,-81.1667
1642,1816000,-104.1144
1646,1820000,-106.8882
1649,1824000,-111.1212
1652,1828000,-82.2013
1656,1832000,-96.6941
1659,1836000,-59.1435
1663,1840000,-92.6669
1665,1844000,-77.4048
1669,1848000,-83.8934
1671,1852000,-70.6298
1674,1856000,-47.3822
1676,1860000,-41.3455
1679,1864000,-52.2168
1682,1868000,-99.4706
1686,1872000,-87.077
1691,1876000,-102.6346
1694,1880000,-71.3381
1696,1884000,-67.3622
1699,1888000,-79.9986
1702,1892000,-77.225
1704,1896000,-52.446
1707,1900000,-103.2168
1710,1904000,-61.3286
1713,1908000,-41.3875
1715,1912000,-77.4295
1718,1916000,-84.7542
1721,1920000,-86.0335
1725,1924000,-112.1403
1729,1928000,-73.8862
1733,1932000,-75.238
1735,1936000,-91.6436
1739,1940000,-69.2933
1742,1944000,-67.8019
1745,1948000,-83.4665
1750,1952000,-81.6331
1754,1956000,-114.2192
1757,1960000,-59.2812
1760,1964000,-93.1324
1762,1968000,-93.0142
1767,1972000,-89.5308
1770,1976000,-77.9764
1774,1980000,-85.7094
1778,1984000,-91.4331
1782,1988000,-97.7359
1789,1992000,-76.9875
1792,1996000,-93.1827
1795,2000000,-75.7985
1799,2004000,-70.6446
1801,2008000,-74.1352
1806,2012000,-73.7994
1808,2016000,-92.1605
1813,2020000,-97.3168
1817,2024000,-71.3368
1822,2028000,-97.818
1827,2032000,-90.8286
1831,2036000,-74.3961
1837,2040000,-94.55
1839,2044000,-59.0324
1842,2048000,-110.2457
1845,2052000,-88.7053
1849,2056000,-82.5567
1852,2060000,-22.4253
1854,2064000,-81.5705
1859,2068000,-75.2001
1863,2072000,-81.0068
1869,2076000,-93.3062
1875,2080000,-86.9014
1879,2084000,-87.5963
1884,2088000,-101.4966
1890,2092000,-87.3824
1893,2096000,-99.3528
1898,2100000,-69.7622
1904,2104000,-70.1474
