episode,timestep,reward
19,4000,-1328.3515
39,8000,-1228.2868
59,12000,-1190.009
79,16000,-1293.8835
99,20000,-1190.0969
119,24000,-1226.8126
139,28000,-1126.6214
159,32000,-1098.7858
179,36000,-1176.7117
199,40000,-1129.5121
219,44000,-1121.2389
239,48000,-1087.3593
259,52000,-1110.163
279,56000,-1079.7388
299,60000,-1145.2109
319,64000,-1144.0962
339,68000,-994.9777
359,72000,-1109.2267
379,76000,-1044.1453
399,80000,-1118.7825
419,84000,-1085.5861
439,88000,-1033.7528
459,92000,-1014.6042
479,96000,-1019.5846
499,100000,-1017.4349
519,104000,-1016.4726
539,108000,-975.1502
559,112000,-1088.6708
579,116000,-1100.7955
599,120000,-1034.593
619,124000,-970.9619
639,128000,-1063.0681
659,132000,-1068.9412
679,136000,-1105.7869
699,140000,-945.0033
719,144000,-1029.2914
739,148000,-959.0479
759,152000,-1023.0228
779,156000,-1044.8819
799,160000,-1008.068
819,164000,-922.2933
839,168000,-959.3343
859,172000,-989.2716
879,176000,-1011.6506
899,180000,-950.3524
919,184000,-964.5777
939,188000,-986.9832
959,192000,-956.4552
979,196000,-926.6751
999,200000,-880.7863
1019,204000,-925.387
1039,208000,-884.0338
1059,212000,-881.4431
1079,216000,-911.1945
1099,220000,-895.2614
1119,224000,-913.4499
1139,228000,-969.0121
1159,232000,-895.7132
1179,236000,-900.2818
1199,240000,-864.8399
1219,244000,-879.1647
1239,248000,-952.8617
1259,252000,-814.3205
1279,256000,-858.1766
1299,260000,-873.1117
1319,264000,-844.5851
1339,268000,-860.4809
1359,272000,-924.1395
1379,276000,-877.9447
1399,280000,-817.8647
1419,284000,-835.9279
1439,288000,-818.1332
1459,292000,-944.4375
1479,296000,-814.5906
1499,300000,-878.6363
1519,304000,-766.182
1539,308000,-807.6101
1559,312000,-811.369
1579,316000,-810.2071
1599,320000,-776.7376
1619,324000,-818.3894
1639,328000,-785.5725
1659,332000,-799.4455
1679,336000,-775.1094
1699,340000,-782.2953
1719,344000,-733.2774
1739,348000,-666.3111
1759,352000,-766.2929
1779,356000,-709.8647
1799,360000,-774.36
1819,364000,-598.6458
1839,368000,-720.6555
1859,372000,-610.0308
1879,376000,-641.0205
1899,380000,-596.8849
1919,384000,-600.3039
1939,388000,-689.392
1959,392000,-706.0196
1979,396000,-489.94
1999,400000,-551.31
2019,404000,-605.9655
2039,408000,-653.3841
2059,412000,-510.5127
2079,416000,-486.8621
2099,420000,-442.2367
2119,424000,-470.0713
2139,428000,-405.0689
2159,432000,-393.8972
2179,436000,-450.9107
2199,440000,-472.2282
2219,444000,-475.9307
2239,448000,-407.8915
2259,452000,-412.4581
